time_key,open,high,low,close,volume,time_clean
2025-10-21 00:00:00,204.10036233,205.668828159,200.643843271,202.09232646,13717259.0,2025-10-21
2025-10-22 00:00:00,202.052365547,205.375515059,192.21199076,198.276059283,21949776.0,2025-10-22
2025-10-23 00:00:00,196.50778889,208.795769589,195.009254659,206.508007328,19397915.0,2025-10-23
2025-10-24 00:00:00,212.182456952,219.605196512,209.774811953,218.805978255,25821756.0,2025-10-24
2025-10-27 00:00:00,224.590320389,224.760154268,215.529183402,219.884922902,23873072.0,2025-10-27
2025-10-28 00:00:00,218.716066201,222.6821868,217.347404936,221.693154208,14957513.0,2025-10-28
2025-10-29 00:00:00,228.831172264,232.1729036,225.879059828,226.408541923,23217288.0,2025-10-29
2025-10-30 00:00:00,225.879059828,227.177789495,220.524297507,223.791102132,14795071.0,2025-10-30
2025-10-31 00:00:00,227.527447482,231.024027356,218.606173691,223.551336655,16319993.0,2025-10-31
2025-11-03 00:00:00,233.646462261,237.387802726,231.573489907,234.470656088,21199296.0,2025-11-03
2025-11-04 00:00:00,221.922929456,228.449145937,217.187561285,217.816945662,23696205.0,2025-11-04
2025-11-05 00:00:00,225.4444849,239.645594301,224.505403449,237.267919987,28617387.0,2025-11-05
2025-11-06 00:00:00,237.607587746,246.169213322,234.650480196,238.097108928,32016797.0,2025-11-06
2025-11-07 00:00:00,233.801310798,242.312985233,226.178866576,237.687509572,30613835.0,2025-11-07
2025-11-10 00:00:00,247.712703581,256.818796594,247.567845272,253.052480559,27870630.0,2025-11-10
2025-11-11 00:00:00,248.097327367,249.745715021,238.556659426,240.874392371,22622470.0,2025-11-11
2025-11-12 00:00:00,244.660688862,248.946496764,240.604656209,244.660688862,17263143.0,2025-11-12
2025-11-13 00:00:00,243.361959195,249.256193839,229.935092481,236.718457435,32324591.0,2025-11-13
2025-11-14 00:00:00,231.22383192,254.920653234,231.004046899,246.588802907,36171119.0,2025-11-14
2025-11-17 00:00:00,246.678714961,260.325366696,239.226004716,241.71357154,30304352.0,2025-11-17
2025-11-18 00:00:00,235.249893889,238.696522621,225.299626591,228.276714598,33843910.0,2025-11-18
2025-11-19 00:00:00,226.688268313,234.120998101,216.148577551,225.69923572,35256563.0,2025-11-19
2025-11-20 00:00:00,230.010019192,230.372664476,199.404955071,201.173225464,47420728.0,2025-11-20
2025-11-21 00:00:00,204.330137579,211.792838052,192.401805096,207.16736239,36679691.0,2025-11-21
2025-11-24 00:00:00,213.201460229,225.889050056,212.152486267,223.711180306,33052839.0,2025-11-24
2025-11-25 00:00:00,219.005782819,225.968971881,215.788929336,224.310593999,17441636.0,2025-11-25
